,Discipline,original_afiliacion,Gender,original_completo,Affiliation,Complete,Complete - Gender
127,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
128,Economic Sci.,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",Male,True,Category 2,Complete,Complete - Male
129,Health Sci.,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Male,False,,Incomplete,Incomplete - Male
130,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Male,True,,Incomplete,Incomplete - Male
131,Economic Sci.,EL COLEGIO DEL ESTADO DE HIDALGO,Female,False,,Incomplete,Incomplete - Female
132,Health Sci.,HOSPITAL INFANTIL DE MEXICO DR. FEDERICO GOMEZ,Female,False,,Incomplete,Incomplete - Female
133,Engineering,"UNIVERSIDAD POPULAR AUTONOMA DEL ESTADO DE PUEBLA, A.C.",Male,True,Category 3,Complete,Complete - Male
134,Engineering,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,Male,False,,Incomplete,Incomplete - Male
135,Health Sci.,SECRETARIA DE SALUD,Female,True,Category 2,Complete,Complete - Female
136,Economic Sci.,UNIVERSIDAD DE GUANAJUATO,Male,False,,Incomplete,Incomplete - Male
137,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,True,Category 3,Complete,Complete - Male
138,Economic Sci.,UNIVERSIDAD VERACRUZANA,Female,True,Category 3,Complete,Complete - Female
139,Economic Sci.,TECNOLOGICO NACIONAL DE MEXICO,Male,True,Category 3,Complete,Complete - Male
140,Health Sci.,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Male,True,Category 2,Complete,Complete - Male
141,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Female,True,Category 2,Complete,Complete - Female
142,Engineering,SIN INSTITUCIÓN,Female,False,,Incomplete,Incomplete - Female
143,Engineering,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,True,Category 2,Complete,Complete - Female
144,Engineering,UNIVERSIDAD POLITECNICA DE JUVENTINO ROSAS,Male,True,Category 3,Complete,Complete - Male
145,Economic Sci.,UNIVERSIDAD VERACRUZANA,Female,False,,Incomplete,Incomplete - Female
146,Economic Sci.,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,Male,False,,Incomplete,Incomplete - Male
147,Health Sci.,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Female,True,Category 2,Complete,Complete - Female
148,Engineering,SIN INSTITUCIÓN,Female,True,Category 4,Complete,Complete - Female
149,Engineering,CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,Male,True,Category 2,Complete,Complete - Male
150,Engineering,INSTITUTO NACIONAL DE ASTROFISICA OPTICA Y ELECTRONICA,Male,False,,Incomplete,Incomplete - Male
151,Health Sci.,UNIVERSIDAD VERACRUZANA,Female,False,,Incomplete,Incomplete - Female
152,Health Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,Category 2,Complete,Complete - Male
153,Economic Sci.,COLEGIO DE POSTGRADUADOS EN CIENCIAS AGRICOLAS,Female,True,Category 2,Complete,Complete - Female
154,Engineering,UNIVERSIDAD DEL ISTMO,Male,True,Category 3,Complete,Complete - Male
155,Engineering,UNIVERSIDAD AUTONOMA DEL CARMEN,Female,False,,Incomplete,Incomplete - Female
156,Health Sci.,UNIVERSIDAD DE GUADALAJARA,Male,True,Category 3,Complete,Complete - Male
157,Health Sci.,SIN INSTITUCIÓN,Male,True,,Incomplete,Incomplete - Male
158,Health Sci.,UNIVERSIDAD DE GUADALAJARA,Male,True,Category 3,Complete,Complete - Male
159,Economic Sci.,UNIVERSIDAD DE GUADALAJARA,Male,True,Category 3,Complete,Complete - Male
160,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Female,True,Category 2,Complete,Complete - Female
161,Health Sci.,EMORY UNIVERSITY,Female,True,Category 2,Complete,Complete - Female
162,Health Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,True,Category 1,Complete,Complete - Female
163,Engineering,UNIVERSIDAD AUTONOMA DE SINALOA,Male,True,Category 3,Complete,Complete - Male
164,Health Sci.,GOBIERNO DEL ESTADO DE MEXICO,Male,True,Category 2,Complete,Complete - Male
165,Health Sci.,INSTITUTO NACIONAL DE CANCEROLOGIA,Male,True,Category 2,Complete,Complete - Male
166,Engineering,CENTRO DE INVESTIGACION EN QUIMICA APLICADA,Male,True,Category 2,Complete,Complete - Male
167,Economic Sci.,EL BANCO MUNDIAL,Female,True,Category 2,Complete,Complete - Female
168,Engineering,SIN INSTITUCIÓN,Female,True,Category 4,Complete,Complete - Female
169,Economic Sci.,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
170,Health Sci.,UNIVERSITY OF CALIFORNIA LOS ANGELES,Female,False,,Incomplete,Incomplete - Female
171,Health Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,True,Category 1,Complete,Complete - Female
172,Economic Sci.,"UNIVERSIDAD POPULAR AUTONOMA DEL ESTADO DE PUEBLA, A.C.",Female,True,Category 3,Complete,Complete - Female
173,Health Sci.,INSTITUTO POLITECNICO NACIONAL,Female,False,,Incomplete,Incomplete - Female
174,Health Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,True,Category 1,Complete,Complete - Female
175,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,Category 1,Complete,Complete - Male
176,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,False,,Incomplete,Incomplete - Male
177,Health Sci.,UNIVERSIDAD AUTONOMA DE SINALOA,Female,False,,Incomplete,Incomplete - Female
178,Economic Sci.,UNIVERSIDAD POLITECNICA DE TECAMAC,Female,False,,Incomplete,Incomplete - Female
179,Economic Sci.,UNIVERSIDAD POLITECNICA DE VICTORIA,Male,False,,Incomplete,Incomplete - Male
180,Health Sci.,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,Male,True,Category 3,Complete,Complete - Male
181,Economic Sci.,UNIVERSIDAD AUTONOMA CHAPINGO,Male,True,Category 2,Complete,Complete - Male
182,Health Sci.,UNIVERSIDAD DE GUADALAJARA,Female,True,Category 3,Complete,Complete - Female
183,Economic Sci.,UNIVERSIDAD DE GUADALAJARA,Male,True,Category 3,Complete,Complete - Male
184,Economic Sci.,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,Male,True,Category 3,Complete,Complete - Male
185,Engineering,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,Male,False,,Incomplete,Incomplete - Male
186,Engineering,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Male,False,,Incomplete,Incomplete - Male
187,Economic Sci.,UNIVERSIDAD DE GUADALAJARA,Female,False,,Incomplete,Incomplete - Female
188,Economic Sci.,UNIVERSIDAD DE GUANAJUATO,Male,False,,Incomplete,Incomplete - Male
189,Engineering,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,Female,False,,Incomplete,Incomplete - Female
190,Health Sci.,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,Female,True,Category 3,Complete,Complete - Female
191,Economic Sci.,UNIVERSIDAD ESTATAL DE SONORA,Female,False,,Incomplete,Incomplete - Female
192,Economic Sci.,"EL COLEGIO DE MEXICO, A.C.",Male,True,Category 2,Complete,Complete - Male
193,Engineering,UNIVERSIDAD DE GUANAJUATO,Male,True,Category 3,Complete,Complete - Male
194,Engineering,SIN INSTITUCIÓN,Female,False,,Incomplete,Incomplete - Female
195,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Female,True,Category 2,Complete,Complete - Female
196,Health Sci.,"UNIVERSIDAD DE LA SALLE BAJIO, A.C.",Male,False,,Incomplete,Incomplete - Male
197,Health Sci.,GOBIERNO DEL ESTADO DE CHIAPAS,Female,True,Category 2,Complete,Complete - Female
198,Economic Sci.,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Male,False,,Incomplete,Incomplete - Male
199,Economic Sci.,"CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO, A.C.",Male,True,Category 2,Complete,Complete - Male
200,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,False,,Incomplete,Incomplete - Male
201,Health Sci.,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Male,False,,Incomplete,Incomplete - Male
202,Engineering,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,False,,Incomplete,Incomplete - Male
203,Health Sci.,HOSPITAL GENERAL DR. MANUEL GEA GONZALEZ,Male,True,Category 2,Complete,Complete - Male
204,Economic Sci.,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,Male,False,,Incomplete,Incomplete - Male
205,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
206,Economic Sci.,INSTITUTO POLITECNICO NACIONAL,Male,False,,Incomplete,Incomplete - Male
207,Economic Sci.,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",Male,True,Category 2,Complete,Complete - Male
208,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,False,,Incomplete,Incomplete - Male
209,Economic Sci.,INSTITUTO POLITECNICO NACIONAL,Male,False,,Incomplete,Incomplete - Male
210,Engineering,UNIVERSIDAD AUTONOMA DE ZACATECAS,Male,True,Category 3,Complete,Complete - Male
211,Engineering,UNIVERSIDAD AUTONOMA DE ZACATECAS,Male,True,Category 3,Complete,Complete - Male
212,Health Sci.,INSTITUTO NACIONAL DE CANCEROLOGIA,Female,False,,Incomplete,Incomplete - Female
213,Economic Sci.,FUNDACION UNIVERSIDAD DE LAS AMERICAS PUEBLA,Male,True,Category 2,Complete,Complete - Male
214,Engineering,UNIVERSIDAD DE SONORA,Male,True,Category 3,Complete,Complete - Male
215,Health Sci.,UNIVERSIDAD DE GUADALAJARA,Male,False,,Incomplete,Incomplete - Male
216,Engineering,SIN INSTITUCIÓN,Female,False,,Incomplete,Incomplete - Female
217,Health Sci.,UNIVERSIDAD DE GUANAJUATO,Female,True,Category 3,Complete,Complete - Female
218,Health Sci.,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ES,Male,True,Category 2,Complete,Complete - Male
219,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Male,True,Category 2,Complete,Complete - Male
220,Engineering,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Male,True,Category 2,Complete,Complete - Male
221,Economic Sci.,UNIVERSIDAD DE GUANAJUATO,Female,True,Category 3,Complete,Complete - Female
222,Engineering,INSTITUTO MEXICANO DEL PETROLEO,Female,False,,Incomplete,Incomplete - Female
223,Economic Sci.,UNIVERSIDAD AUTONOMA CHAPINGO,Female,True,Category 1,Complete,Complete - Female
224,Health Sci.,STANFORD UNIVERSITY,Male,True,Category 2,Complete,Complete - Male
225,Economic Sci.,UNIVERSIDAD AUTONOMA DE CHIAPAS,Male,False,,Incomplete,Incomplete - Male
226,Health Sci.,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,Male,True,Category 2,Complete,Complete - Male
227,Health Sci.,INSTITUTO NACIONAL DE CARDIOLOGIA DR. IGNACIO CHAVEZ,Female,True,,Incomplete,Incomplete - Female
228,Engineering,UNIVERSIDAD DE GUADALAJARA,Male,True,Category 3,Complete,Complete - Male
229,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,Category 2,Complete,Complete - Male
230,Engineering,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,Male,True,Category 3,Complete,Complete - Male
231,Economic Sci.,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
232,Economic Sci.,SIN INSTITUCIÓN,Female,False,,Incomplete,Incomplete - Female
233,Health Sci.,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",Male,True,Category 2,Complete,Complete - Male
234,Economic Sci.,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,Male,True,Category 3,Complete,Complete - Male
235,Engineering,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,Female,False,,Incomplete,Incomplete - Female
236,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,False,,Incomplete,Incomplete - Male
237,Health Sci.,SIN INSTITUCIÓN,Female,True,Category 4,Complete,Complete - Female
238,Engineering,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,Category 1,Complete,Complete - Male
239,Health Sci.,UNIVERSIDAD VERACRUZANA,Female,False,,Incomplete,Incomplete - Female
240,Health Sci.,UNIVERSIDAD DE GUANAJUATO,Female,False,,Incomplete,Incomplete - Female
241,Health Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,False,,Incomplete,Incomplete - Female
242,Engineering,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
243,Economic Sci.,UNIVERSIDAD AUTONOMA DE QUERETARO,Female,True,Category 3,Complete,Complete - Female
244,Engineering,SIN INSTITUCIÓN,Female,True,Category 4,Complete,Complete - Female
245,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Female,True,Category 2,Complete,Complete - Female
246,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,Category 1,Complete,Complete - Male
247,Engineering,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Male,True,Category 3,Complete,Complete - Male
248,Engineering,UNIVERSIDAD VERACRUZANA,Male,True,Category 3,Complete,Complete - Male
