disciplina,afiliacion,genero,completo,categoria_afiliacion,metrica_calculada
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,f,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO POLITECNICO NACIONAL,f,True,Categoría 1,True
CIENCIAS DE LA SALUD,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,f,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD DE GUANAJUATO,m,True,Categoría 3,True
INGENIERIA,SIN INSTITUCIÓN,m,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,True,Categoría 4,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE CHIAPAS,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE COAHUILA,m,False,,False
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA METROPOLITANA,m,False,,False
INGENIERIA,UNIVERSIDAD AUTONOMA DE QUERETARO,m,False,,False
INGENIERIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,SIN INSTITUCIÓN,f,True,Categoría 4,True
INGENIERIA,UNIVERSIDAD TECNOLOGICA EMILIANO ZAPATA DEL ESTADO DE MORELOS,m,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,False,,False
CIENCIAS ECONOMICAS,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",m,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE NUEVO LEON,m,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,m,True,,False
CIENCIAS ECONOMICAS,EL COLEGIO DEL ESTADO DE HIDALGO,f,False,,False
CIENCIAS DE LA SALUD,HOSPITAL INFANTIL DE MEXICO DR. FEDERICO GOMEZ,f,False,,False
INGENIERIA,"UNIVERSIDAD POPULAR AUTONOMA DEL ESTADO DE PUEBLA, A.C.",m,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,m,False,,False
CIENCIAS DE LA SALUD,SECRETARIA DE SALUD,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUANAJUATO,m,False,,False
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD VERACRUZANA,f,True,Categoría 3,True
CIENCIAS ECONOMICAS,TECNOLOGICO NACIONAL DE MEXICO,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,f,True,Categoría 2,True
INGENIERIA,SIN INSTITUCIÓN,f,False,,False
INGENIERIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,True,Categoría 2,True
INGENIERIA,UNIVERSIDAD POLITECNICA DE JUVENTINO ROSAS,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD VERACRUZANA,f,False,,False
CIENCIAS ECONOMICAS,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,m,False,,False
CIENCIAS DE LA SALUD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,f,True,Categoría 2,True
INGENIERIA,SIN INSTITUCIÓN,f,True,Categoría 4,True
INGENIERIA,CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,m,True,Categoría 2,True
INGENIERIA,INSTITUTO NACIONAL DE ASTROFISICA OPTICA Y ELECTRONICA,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD VERACRUZANA,f,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,COLEGIO DE POSTGRADUADOS EN CIENCIAS AGRICOLAS,f,True,Categoría 2,True
INGENIERIA,UNIVERSIDAD DEL ISTMO,m,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD AUTONOMA DEL CARMEN,f,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUADALAJARA,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,SIN INSTITUCIÓN,m,True,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUADALAJARA,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUADALAJARA,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,f,True,Categoría 2,True
CIENCIAS DE LA SALUD,EMORY UNIVERSITY,f,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,True,Categoría 1,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE SINALOA,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,GOBIERNO DEL ESTADO DE MEXICO,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE CANCEROLOGIA,m,True,Categoría 2,True
INGENIERIA,CENTRO DE INVESTIGACION EN QUIMICA APLICADA,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,EL BANCO MUNDIAL,f,True,Categoría 2,True
INGENIERIA,SIN INSTITUCIÓN,f,True,Categoría 4,True
CIENCIAS ECONOMICAS,SIN INSTITUCIÓN,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSITY OF CALIFORNIA LOS ANGELES,f,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,True,Categoría 1,True
CIENCIAS ECONOMICAS,"UNIVERSIDAD POPULAR AUTONOMA DEL ESTADO DE PUEBLA, A.C.",f,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO POLITECNICO NACIONAL,f,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,True,Categoría 1,True
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 1,True
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE SINALOA,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD POLITECNICA DE TECAMAC,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD POLITECNICA DE VICTORIA,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA CHAPINGO,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUADALAJARA,f,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUADALAJARA,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,m,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,m,False,,False
INGENIERIA,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUADALAJARA,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUANAJUATO,m,False,,False
INGENIERIA,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,f,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,f,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD ESTATAL DE SONORA,f,False,,False
CIENCIAS ECONOMICAS,"EL COLEGIO DE MEXICO, A.C.",m,True,Categoría 2,True
INGENIERIA,UNIVERSIDAD DE GUANAJUATO,m,True,Categoría 3,True
INGENIERIA,SIN INSTITUCIÓN,f,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,f,True,Categoría 2,True
CIENCIAS DE LA SALUD,"UNIVERSIDAD DE LA SALLE BAJIO, A.C.",m,False,,False
CIENCIAS DE LA SALUD,GOBIERNO DEL ESTADO DE CHIAPAS,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE NUEVO LEON,m,False,,False
CIENCIAS ECONOMICAS,"CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO, A.C.",m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,False,,False
CIENCIAS DE LA SALUD,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,m,False,,False
INGENIERIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,False,,False
CIENCIAS DE LA SALUD,HOSPITAL GENERAL DR. MANUEL GEA GONZALEZ,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,m,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,False,,False
CIENCIAS ECONOMICAS,INSTITUTO POLITECNICO NACIONAL,m,False,,False
CIENCIAS ECONOMICAS,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",m,True,Categoría 2,True
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,False,,False
CIENCIAS ECONOMICAS,INSTITUTO POLITECNICO NACIONAL,m,False,,False
INGENIERIA,UNIVERSIDAD AUTONOMA DE ZACATECAS,m,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE ZACATECAS,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE CANCEROLOGIA,f,False,,False
CIENCIAS ECONOMICAS,FUNDACION UNIVERSIDAD DE LAS AMERICAS PUEBLA,m,True,Categoría 2,True
INGENIERIA,UNIVERSIDAD DE SONORA,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUADALAJARA,m,False,,False
INGENIERIA,SIN INSTITUCIÓN,f,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUANAJUATO,f,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ES,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,m,True,Categoría 2,True
INGENIERIA,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUANAJUATO,f,True,Categoría 3,True
INGENIERIA,INSTITUTO MEXICANO DEL PETROLEO,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA CHAPINGO,f,True,Categoría 1,True
CIENCIAS DE LA SALUD,STANFORD UNIVERSITY,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE CHIAPAS,m,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE CARDIOLOGIA DR. IGNACIO CHAVEZ,f,True,,False
INGENIERIA,UNIVERSIDAD DE GUADALAJARA,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 2,True
INGENIERIA,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,SIN INSTITUCIÓN,m,False,,False
CIENCIAS ECONOMICAS,SIN INSTITUCIÓN,f,False,,False
CIENCIAS DE LA SALUD,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,m,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,f,False,,False
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,False,,False
CIENCIAS DE LA SALUD,SIN INSTITUCIÓN,f,True,Categoría 4,True
INGENIERIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 1,True
CIENCIAS DE LA SALUD,UNIVERSIDAD VERACRUZANA,f,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUANAJUATO,f,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,True,Categoría 4,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE QUERETARO,f,True,Categoría 3,True
INGENIERIA,SIN INSTITUCIÓN,f,True,Categoría 4,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 1,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,m,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD VERACRUZANA,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA METROPOLITANA,f,True,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUADALAJARA,m,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,True,Categoría 4,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,m,True,Categoría 3,True
INGENIERIA,CENTRO DE INVESTIGACION EN QUIMICA APLICADA,f,False,,False
INGENIERIA,UNIVERSIDAD DE GUADALAJARA,f,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,f,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,f,True,,False
INGENIERIA,SIN INSTITUCIÓN,m,True,Categoría 4,True
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,True,Categoría 3,True
INGENIERIA,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,f,True,Categoría 3,True
CIENCIAS DE LA SALUD,SIN INSTITUCIÓN,m,False,,False
CIENCIAS DE LA SALUD,SIN INSTITUCIÓN,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 1,True
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE OCCIDENTE,f,True,Categoría 3,True
INGENIERIA,SIN INSTITUCIÓN,f,True,Categoría 4,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,f,False,,False
CIENCIAS DE LA SALUD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,f,True,Categoría 2,True
INGENIERIA,UNIVERSIDAD POLITECNICA DE QUERETARO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE QUERETARO,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE MEDICINA GENOMICA,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE GUERRERO,f,True,Categoría 3,True
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD VERACRUZANA,m,False,,False
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,False,,False
